Poll,Date,Allen (D),Collins (R)
Rasmussen,11/1 - 11/1,40.4,55.0
SurveyUSA,10/19 - 10/20,40.8,54.2
Critical Insights,10/16 - 10/19,40.0,54.4
Pan Atlantic SMS,10/13 - 10/16,40.0,54.6
Research 2000,10/14 - 10/15,40.4,54.6
Rasmussen,10/2 - 10/2,40.4,55.0
SurveyUSA,9/22 - 9/23,40.4,55.0
Rasmussen,9/17 - 9/17,40.6,54.0
Research 2000,9/8 - 9/10,38.4,54.2
Rasmussen,8/12 - 8/12,39.2,52.6
Rasmussen,7/17 - 7/17,39.6,52.0
Critical Insights,6/1 - 6/27,38.6,52.2
Pan Atlantic SMS,6/10 - 6/18,36.8,53.0
Rasmussen,6/16 - 6/16,38.2,52.8
Rasmussen,5/14 - 5/14,36.4,54.2
Rasmussen,4/1 - 4/1,35.0,54.8
McLaughlin & Associates (R),3/7 - 3/9,34.0,55.0
SurveyUSA,10/26 - 10/29,35.5,55.5
Research 2000,10/15 - 10/17,33.0,56.0
