Poll,Date,Shaheen (D),Sununu (R)
WMUR/UNH,10/30 - 11/2,50.8,41.2
Rasmussen,10/30 - 10/30,50.8,41.0
SurveyUSA,10/29 - 10/30,50.4,39.4
ARG,10/28 - 10/30,49.2,39.6
Suffolk,10/27 - 10/29,49.0,40.6
Strategic Vision (R),10/27 - 10/29,49.2,40.0
WMUR/UNH,10/25 - 10/27,49.6,40.4
Associated Press-GfK,10/22 - 10/26,49.8,41.6
Rasmussen,10/23 - 10/23,50.0,41.4
Boston Globe/UNH,10/18 - 10/22,49.6,41.2
Concord Monitor,10/17 - 10/19,49.8,42.2
ARG,10/6 - 10/8,49.2,42.6
SurveyUSA,10/4 - 10/5,47.2,42.2
Rasmussen,10/1 - 10/1,46.6,44.6
Research 2000,9/22 - 9/24,46.2,43.4
Strategic Vision (R),9/22 - 9/24,45.8,44.0
Suffolk,9/20 - 9/24,46.8,43.0
Rasmussen,9/23 - 9/23,49.0,43.2
National Journal/FD,9/18 - 9/22,50.4,41.4
University of New Hampshire,9/14 - 9/21,51.0,42.6
ARG,9/13 - 9/15,53.0,41.0
ARG,8/18 - 8/20,51.8,41.4
Rasmussen,8/19 - 8/19,52.0,41.0
Rasmussen,7/23 - 7/23,52.4,40.4
ARG,7/19 - 7/21,52.2,40.0
University of New Hampshire,7/11 - 7/20,49.8,40.0
Rasmussen,6/18 - 6/18,50.8,40.2
ARG,6/13 - 6/17,50.6,40.4
Rasmussen,5/20 - 5/20,49.2,39.0
Dartmouth,4/28 - 5/2,49.0,38.6
Rasmussen,4/30 - 4/30,49.6,39.6
University of New Hampshire,4/25 - 4/30,50.2,38.4
ARG,3/14 - 3/17,48.0,40.8
Rasmussen,3/16 - 3/16,49.2,42.6
Rasmussen,2/13 - 2/13,49.0,43.0
University of New Hampshire,1/18 - 1/27,50.4,41.6
American Res. Group,12/16 - 12/19,51.0,40.0
SurveyUSA,10/26 - 10/29,53.5,37.0
Rasmussen,9/16 - 9/16,53.7,35.3
Monitor/Research2000,7/9 - 7/11,56.5,31.5
American Res. Group,6/23 - 6/26,57.0,29.0
