Poll,Date,Merkley (D),Smith (R)
Rasmussen,10/30 - 10/30,48.4,42.6
PPP (D),10/28 - 10/30,45.8,40.4
Research 2000,10/27 - 10/29,45.0,40.0
SurveyUSA,10/25 - 10/26,44.8,41.0
Portland Tribune,10/23 - 10/25,44.2,40.8
Riley Research,10/10 - 10/20,44.2,40.8
Research 2000,10/14 - 10/15,45.8,42.2
Rasmussen,10/14 - 10/14,45.4,43.2
SurveyUSA,10/11 - 10/12,43.8,42.2
Research 2000,9/22 - 9/24,43.4,44.0
SurveyUSA,9/22 - 9/23,41.8,45.8
Rasmussen,9/15 - 9/15,42.2,46.6
Portland Tribune,9/11 - 9/14,40.8,46.8
Rasmussen,8/7 - 8/7,41.4,47.4
SurveyUSA,8/2 - 8/4,39.4,46.8
Rasmussen,7/15 - 7/15,38.0,46.6
Rasmussen,6/11 - 6/11,36.6,47.0
Rasmussen,5/7 - 5/7,36.2,47.0
Rasmussen,3/25 - 3/25,34.3,47.7
Rasmussen,2/13 - 2/13,34.5,48.0
SurveyUSA,10/24 - 10/28,39.0,48.0
