Poll,Date,Warner (D),Gilmore (R)
PPP (D),10/31 - 11/2,60.8,33.2
SurveyUSA,10/30 - 11/1,60.6,32.2
Mason-Dixon,10/29 - 10/30,61.0,30.6
SurveyUSA,10/25 - 10/26,60.2,31.0
Associated Press/GfK,10/22 - 10/26,59.6,31.8
Washington Post,10/22 - 10/25,60.2,32.6
VCU,10/20 - 10/22,60.2,32.6
Mason-Dixon,10/20 - 10/21,59.6,33.4
SurveyUSA,10/18 - 10/19,60.2,33.0
Rasmussen,10/16 - 10/16,59.6,30.8
Washington Post,10/4 - 10/8,58.8,29.8
PPP (D),10/6 - 10/7,58.6,30.4
SurveyUSA,10/4 - 10/5,59.2,29.8
Suffolk,10/3 - 10/5,58.4,30.4
Mason-Dixon,9/29 - 10/1,59.2,31.6
Rasmussen,9/25 - 9/25,59.2,32.0
Mason-Dixon,9/17 - 9/22,58.6,32.0
SurveyUSA,9/19 - 9/21,57.2,32.4
ABC News/Wash Post,9/18 - 9/21,57.0,32.6
PPP (D),9/13 - 9/14,55.8,32.8
SurveyUSA,9/12 - 9/14,56.6,33.2
CNU Virginia Poll,9/10 - 9/14,56.8,33.2
SurveyUSA,9/5 - 9/7,57.4,33.6
PPP (D),8/20 - 8/22,58.0,33.8
Rasmussen,8/12 - 8/12,58.8,33.0
SurveyUSA,8/8 - 8/10,58.6,32.6
PPP (D),7/17 - 7/20,58.0,33.2
Rasmussen,7/16 - 7/16,57.6,34.6
PPP (D),6/14 - 6/16,57.2,34.8
Rasmussen,6/12 - 6/12,56.0,36.8
Rasmussen,5/8 - 5/8,55.4,37.2
Rasmussen,3/26 - 3/26,56.4,36.2
Rasmussen,2/19 - 2/19,56.8,35.5
Rasmussen,1/3 - 1/3,56.7,35.0
SurveyUSA,10/27 - 10/30,58.5,33.5
SurveyUSA,9/14 - 9/16,60.0,32.0
