Poll,Date,Warren (D),Brown (R)
UMass Lowell/Boston Herald,10/31 - 11/3,50.0,46.8
PPP (D),11/1 - 11/2,50.8,46.4
Western NE University,10/26 - 11/1,50.4,46.0
Suffolk/7News,10/25 - 10/28,50.4,45.6
Boston Globe,10/24 - 10/28,49.6,45.8
Rasmussen Reports,10/25 - 10/25,49.2,46.0
WBUR/MassINC,10/21 - 10/22,48.8,45.6
PPP (D),10/9 - 10/11,48.6,45.8
Rasmussen Reports,10/10 - 10/10,47.2,44.6
WBUR/MassINC,10/5 - 10/7,47.0,44.8
Western NE University,9/28 - 10/4,47.4,43.6
WBUR/MassINC,9/26 - 9/28,46.4,44.4
Boston Globe,9/21 - 9/27,46.2,44.6
Rasmussen Reports,9/24 - 9/24,47.2,45.8
WBUR/MassINC,9/15 - 9/17,47.6,45.0
UMass Lowell/Boston Herald,9/13 - 9/17,47.0,46.4
PPP (D),9/13 - 9/16,46.0,44.2
Suffolk/7News,9/13 - 9/16,45.6,44.2
Western NE University,9/6 - 9/13,45.0,44.0
PPP (D),8/16 - 8/19,42.4,43.0
MassINC,7/19 - 7/22,43.0,42.8
PPP (D),6/22 - 6/24,44.0,44.2
Western NE University,5/29 - 5/31,43.4,43.2
Boston Globe,5/25 - 5/31,43.6,43.6
Suffolk/7News,5/20 - 5/22,43.2,43.2
Rasmussen Reports,5/7 - 5/7,43.0,41.8
MassINC,4/25 - 4/28,42.2,42.6
Rasmussen Reports,4/9 - 4/9,42.4,44.2
Boston Globe,3/21 - 3/27,41.2,45.0
PPP (D),3/16 - 3/18,43.4,46.2
Western NE University,2/23 - 3/1,42.6,48.4
Rasmussen Reports,2/29 - 2/29,44.2,47.0
Suffolk/7News,2/11 - 2/15,43.8,46.6
WBUR/MassINC,2/6 - 2/9,43.4,45.0
Mass Insight/Opinion Dynamics,1/31 - 2/4,43.4,45.2
UMass Lowell/Boston Herald,12/1 - 12/6,42.0,43.6
Western NE University,9/29 - 10/5,38.6,44.6
UMass Lowell/Boston Herald,9/22 - 9/28,37.0,45.4
PPP (D),9/16 - 9/18,36.8,46.5
WBUR/MassINC,8/30 - 9/1,33.7,47.3
PPP (D),6/2 - 6/5,33.0,49.0
Western NE University,3/6 - 3/10,34.0,51.0
