Poll,Date,Brown (D),Mandel (R)
Rasmussen Reports,11/4 - 11/4,50.0,45.0
PPP (D),11/3 - 11/4,49.6,45.0
SurveyUSA*,11/1 - 11/4,48.8,45.2
Ohio Poll/Univ of Cin.,10/31 - 11/4,49.8,45.8
Columbus Dispatch*,10/24 - 11/3,48.8,44.6
Rasmussen Reports,11/1 - 11/1,48.6,45.2
NBC/WSJ/Marist,10/31 - 11/1,49.6,44.0
Ohio Poll/Univ of Cin.,10/25 - 10/30,49.8,43.4
SurveyUSA,10/26 - 10/29,49.6,44.0
Rasmussen Reports,10/28 - 10/28,50.0,44.6
PPP (D),10/26 - 10/28,50.2,44.4
CBS/NYT/Quinnipiac,10/23 - 10/28,48.2,44.4
Gravis Marketing,10/27 - 10/27,47.2,43.8
Rasmussen Reports,10/23 - 10/23,47.4,43.2
Cincinnati Enquirer/Ohio News,10/18 - 10/23,48.0,42.8
SurveyUSA,10/20 - 10/22,47.6,42.2
Suffolk*,10/18 - 10/21,47.6,41.4
PPP (D),10/18 - 10/20,48.2,42.0
CBS News/Quinnipiac,10/17 - 10/20,47.8,42.4
Rasmussen Reports,10/17 - 10/17,48.0,42.2
SurveyUSA*,10/12 - 10/15,46.6,41.0
PPP (D),10/12 - 10/13,47.2,42.6
Rasmussen Reports,10/10 - 10/10,46.6,43.0
NBC/WSJ/Marist,10/7 - 10/9,47.2,42.0
SurveyUSA*,10/5 - 10/8,46.6,42.0
Rasmussen Reports,10/4 - 10/4,48.0,42.2
WeAskAmerica,10/4 - 10/4,48.8,41.0
NBC/WSJ/Marist,9/30 - 10/1,50.2,40.4
PPP (D),9/27 - 9/30,49.0,40.8
Columbus Dispatch*,9/19 - 9/29,48.6,40.6
CBS/NYT/Quinnipiac,9/18 - 9/24,49.2,41.8
Washington Post,9/19 - 9/23,49.0,42.0
Gravis Marketing,9/21 - 9/22,48.2,42.2
FOX News,9/16 - 9/18,49.0,41.6
Ohio Newspapers/Univ of Cin.,9/13 - 9/18,49.2,42.0
Rasmussen Reports,9/12 - 9/12,47.6,41.8
NBC/WSJ/Marist,9/9 - 9/11,46.6,41.8
PPP (D),9/7 - 9/9,45.6,42.2
Gravis Marketing,9/7 - 9/8,45.6,43.6
Gravis Marketing,9/2 - 9/2,45.6,43.4
Gravis Marketing,8/27 - 8/27,45.6,43.4
Columbus Dispatch*,8/15 - 8/25,46.2,42.6
Ohio Poll/Univ of Cin.,8/16 - 8/21,47.6,41.6
CBS/NYT/Quinnipiac,8/15 - 8/21,47.2,40.6
Rasmussen Reports,8/13 - 8/13,47.6,39.2
PPP (D),8/9 - 8/12,48.0,38.2
CBS/NYT/Quinnipiac,7/24 - 7/30,48.0,39.2
Rasmussen Reports,7/18 - 7/18,48.0,38.8
Quinnipiac,6/19 - 6/25,48.0,38.4
PPP (D),6/21 - 6/24,47.0,39.0
Rasmussen Reports,5/29 - 5/29,46.6,39.4
NBC News/Marist,5/17 - 5/20,45.8,39.6
Quinnipiac,5/2 - 5/7,44.8,39.4
PPP (D),5/3 - 5/6,45.0,38.8
Rasmussen Reports,4/18 - 4/18,45.6,38.4
Rasmussen Reports,3/26 - 3/26,45.6,38.2
Quinnipiac,3/20 - 3/26,46.4,36.8
NBC News/Marist,2/29 - 3/2,46.6,36.0
Quinnipiac,2/7 - 2/12,47.0,35.4
Rasmussen Reports,2/8 - 2/8,47.2,35.2
PPP (D),1/28 - 1/29,48.0,35.2
Quinnipiac,1/9 - 1/16,48.4,35.2
PPP (D),11/4 - 11/6,48.6,35.4
Quinnipiac,10/17 - 10/23,48.6,35.4
PPP (D),10/13 - 10/16,48.4,34.8
Quinnipiac,9/20 - 9/25,47.8,33.0
PPP (D),8/11 - 8/14,47.6,32.2
Quinnipiac,7/12 - 7/18,47.5,32.0
PPP (D),5/19 - 5/22,47.0,31.3
Quinnipiac,5/10 - 5/16,46.5,31.5
PPP (D),3/10 - 3/13,48.0,32.0
