Poll,Date,Hagan (D),Tillis (R)
PPP (D),11/1 - 11/3,43.6,42.8
YouGov,10/25 - 10/31,44.0,43.2
Civitas (R),10/29 - 10/30,44.0,43.8
Harper (R),10/28 - 10/30,44.4,44.2
FOX News,10/28 - 10/30,44.4,43.2
CNN/Opinion Research,10/27 - 10/30,45.0,43.4
High Point/SurveyUSA,10/21 - 10/25,44.6,42.8
NBC News/Marist,10/19 - 10/23,44.0,42.4
CBS News/NYT/YouGov,10/16 - 10/23,44.2,42.0
SurveyUSA,10/16 - 10/20,43.4,41.8
PPP (D),10/16 - 10/18,43.6,42.2
Civitas (R),10/15 - 10/18,43.2,41.6
SurveyUSA,10/9 - 10/12,44.2,42.2
High Point,9/30 - 10/9,44.6,42.2
USA Today/Suffolk,10/4 - 10/7,45.8,42.8
NBC News/Marist,9/27 - 10/1,44.8,41.8
CBS News/NYT/YouGov,9/20 - 10/1,44.2,41.0
Civitas (R),9/25 - 9/28,43.8,40.0
CNN/Opinion Research,9/22 - 9/25,43.8,40.4
High Point,9/13 - 9/18,43.8,39.0
FOX News,9/14 - 9/16,43.8,39.6
PPP (D),9/11 - 9/14,44.6,41.0
SurveyUSA/Civitas (R),9/9 - 9/10,44.2,40.6
American Insights (R),9/5 - 9/10,43.4,40.2
CBS News/NYT/YouGov,8/18 - 9/2,42.4,39.8
USA Today/Suffolk,8/16 - 8/19,42.8,38.6
PPP (D),8/14 - 8/17,41.6,36.8
Civitas (R),7/28 - 7/29,40.6,37.4
PPP (D),7/17 - 7/20,39.8,36.4
Civitas (R),6/18 - 6/22,39.5,37.0
PPP (D),6/12 - 6/15,38.0,37.0
Civitas (R),5/20 - 5/22,37.5,38.5
PPP (D),5/9 - 5/11,38.0,36.0
